Adolescence	अज्ञातयौवना
Ignorance	अज्ञान
Ignorance	अज्ञानता
Ignorance	अज्ञानतिमीर
Ignorance	अज्ञानांधकार
Ignorance	अज्ञानीपणा
Agnosticism	अज्ञेयवाद
Agnostic	अज्ञेयवादी
Ajmas	अज्मास
Condition	अट
Arrested	अटक
Guess	अटकळ
Arrest	अटकसत्र
Interception	अटकाव
Stop	अटकावा
Attorney General	अटर्नी जनरल
Atal Bihari Vajpayee	अटल बिहारी वाजपयी
Atal Behari Vajpayee	अटल बेहारी वाजपयी
Atla	अटला
Atlantic	अटलांटिक
Atlantic Ocean	अटलांटिक महासागर
To stop	अटवणे
To stop	अटविणे
Atvi	अटवी
Attic	अटारी
Atoli	अटोळी
Laughter	अट्टहास
Attahas	अट्टाहास
Eighteen	अठरा
Eighteenth date	अठरा तारीख
Eighth	अठळी
Eight	अठी
Eighth	अठ्ठा
Fifty eight	अठ्ठावन्न
Twenty eight	अठ्ठावीस
Twenty-eighth date	अठ्ठावीस तारीख
Eight	अठ्ठी
Forty eight	अठ्ठेचाळीस
Seventy-eight	अठ्ठेहत्तरावा
Eighty-eight	अठ्ठ्याऐंशी
Eighty-eight	अठ्ठ्याण्णव
Eighty-eight	अठ्ठ्याण्णवावा
Seventy-eight	अठ्ठ्याहत्तर
Seventy-eight	अठ्ठ्याहत्तरावा
Eighty eight	अठ्ठ्येत्तरावा
Adai	अडई
Stuck	अडकण
Get stuck	अडकणे
Obstruction	अडकाव
Stuck	अडकित्ता
Difficulty	अडगळ
Adgaon	अडगाव
Difficulty	अडचण
Adat	अडत
Thirty eight	अडतीस
Adatya	अडत्या
Obstacle	अडथळा
Advan	अडवण
Advani	अडवणी
Obstruction	अडवणूक
To block	अडवणे
Advance	अडव्हान्स
Adsheri	अडशेरी
Adsar	अडसर
Adakha	अडाखा
Ignorant	अडाणी
Adana	अडाना
Adam	अडाम
Addisari	अडिसरी
Heel	अडी
Obstacles	अडीअडचण
Two and a half	अडीच
Half a dozen	अडीचकी
Adulsa	अडुळसा
Sixty eight	अडुसष्ट
Aderi	अडेरी
Adelattupana	अडेलतट्टूपणा
Haunt	अड्डा
Adhana	अढाना
Half	अढी
Anavat	अणवट
Anima	अणिमा
Atomic number	अणुअंक
Atomic number	अणुक्रमांक
Nuclear war	अणुयुद्ध
Nuclear power	अणुविद्युत
Atom	अणू
Atomic bomb	अणूबॉम्ब
Atomic number	अणूवस्तुमानांक
Nuclear	अण्वस्त्र
Atal	अतल
Atal	अतळ
Atana	अताना
Atayi	अतायी
Atar	अतार
Atari	अतारी
Craving	अतिइच्छा
Superficial	अतिकाय
Superfluous	अतिकृच्छ
Encroachment	अतिक्रमण
Transgression	अतिचार
Past	अतित
Guest room	अतिथि कक्ष
Guest house	अतिथिगृह
Guest worship	अतिथिपूजा
Guest	अतिथी
Overdose	अतिदान
Thank you very much	अतिधन्वा
Ultraviolet	अतिनाभ
UV rays	अतिनील किरण
Atipandukambala	अतिपांडुकंबला
Transgressor	अतिपातक
Overflow	अतिप्रवाह
Beloved person	अतिप्रिय व्यक्ती
Additional Commissioner of Police	अतिरिक्त पोलिस आयुक्त
Additional Director General of Police	अतिरिक्त पोलीस महासंचालक
Redundancy	अतिरेक
Terrorist	अतिरेकी
Overdose	अतिविष
Overdose	अतिविषा
Heavy rain	अतिवृष्टी
Exaggeration	अतिशयोक्ति
Exaggeration	अतिशयोक्ती
Diarrhea	अतिसार
Microscope	अतिसूक्ष्मदर्शक
Extreme grief	अतीव दुःख
Dissatisfaction	अतृप्ती
Perfume	अत्तर
Perfumery	अत्तरदाणी
Attari	अत्तारी
Tyranny	अत्याचार
Tyrannical	अत्याचारी
Ecstasy	अत्यानंद
Exaggeration	अत्युक्ती
High position	अत्युच्चपद
Atri	अत्री
Atri Rishi	अत्री ऋषी
Atri river	अत्री नदी
Atrun	अत्रुण
Atreya	अत्रेय
Atharva	अथर्व
Atharva-shir Upanishad	अथर्व-शिर उपनिषद्
Atharvan	अथर्वन
Atharva Veda	अथर्ववेद
Atharvashikh Upanishad	अथर्वशिख उपनिषद
Atharvashikha	अथर्वशिखा
Atharvashir Upanishad	अथर्वशिर उपनिषद्
Atharva	अथर्वा
Infinity	अथांगता
Politeness	अदब
Admas	अदमास
Swap	अदलाबदल
Swapped	अदलाबदली
Paid	अदा
Enmity	अदावत
Aditi	अदिती
Addis Ababa	अदिस अबाबा
Invisibility	अदृश्यता
Invisibility	अदृश्यपणा
Unlucky	अदृष्ट
Wonderful miracles	अद्भुत चमत्कार
Wonderful place	अद्भुत ठिकाण
The wonderful Ramayana	अद्भुत रामायण
Wonderful location	अद्भुत स्थान
Awesomeness	अद्भुतता
Wonderful thing	अद्भूत गोष्ट
Update	अद्यतन
Adrika	अद्रिका
Rebellion	अद्रोह
Advayatarak Upanishad	अद्वयतारक उपनिषद
Uniqueness	अद्वितीयता
Advaita	अद्वैत
Advaitamat	अद्वैतमत
Monotheism	अद्वैतवाद
Monotheistic	अद्वैतवादी
Degradation	अधःपतन
Fall	अधःपात
Adhan	अधण
Vile	अधम
Other	अधर
Adharpan	अधरपान
Immortal	अधरामृत
Iniquity	अधर्म
Iniquity	अधर्माचरण
Paralyzed	अधांगा
Non-metallic	अधातू
Irreligion	अधार्मिकता
Greedy	अधाशी
Adhas	अधास
More	अधिक
Excess	अधिकता
Abundance	अधिकपणा
More months	अधिकमहिना
More months	अधिकमास
Tribunal	अधिकरण
Adhikang	अधिकांग
Rights	अधिकार
Granting rights	अधिकार प्रदान
Jurisdiction	अधिकारक्षेत्र
Charter	अधिकारपत्र
Disenfranchisement	अधिकारशून्यता
Officer	अधिकारी
Official class	अधिकारी वर्ग
Officers	अधिकारीगण
Bureaucracy	अधिकारीवर्ग
Officer's work	अधिकार्‍याचे काम
Authorization	अधिकृतता
Authenticity	अधिकृतपणा
Acquisition	अधिगणन
Acquisition	अधिग्रहण
Act	अधिनियम
Act	अधिनियमन
Lord	अधिपती
Deed	अधिपत्र
Adhipadap	अधिपादप
Overload	अधिभार
Dining	अधिभोजन
Adhimitra	अधिमित्र
Premium	अधिमूल्य
Adhirath	अधिरथ
Emperor	अधिराज
Imposition	अधिरोपण
Surplus	अधिलाभांश
Overwhelming	अधिवाची
Domicile	अधिवास
Domicile	अधिवासित्त्व
Inhabitant	अधिवासी
Adrenal	अधिवृक्क
Adrenal glands	अधिवृक्क ग्रंथी
Convention	अधिवेशन
Abode	अधिष्ठान
Notification	अधिसूचना
Graduate	अधिस्नातक
Superintendent	अधीक्षक
Subordination	अधीनता
Impatience	अधीरता
Impatience	अधीरपणा
God	अधीश्वर
Adheli	अधेली
Degeneration	अधोगती
Myopia	अधोदृष्टी
Underground	अधोभूमि
Underlining	अधोरेखन
Downward	अधोवाची
The word degrading	अधोवाची शब्द
President	अध्यक्ष
Presidency	अध्यक्षता
Presidency	अध्यक्षत्व
Presidency	अध्यक्षपद
Study	अध्ययन
Study room	अध्ययन कक्ष
Perseverance	अध्यवसाय
Spirituality	अध्यात्म
Spiritual Ramayana	अध्यात्म रामायण
Spiritualism	अध्यात्मवाद
Ordinance	अध्यादेश
Teacher	अध्यापक
Teaching	अध्यापन
Teacher	अध्यापिका
Chapter	अध्याय
Adhvaryu	अध्वर्यू
Anang	अनंग
Infinity	अनंत
Anantachaturdashi	अनंतचतुर्दशी
Anantjit	अनंतजित्
Infinity Tank	अनंतटंक
Anantnag	अनंतनाग
Anantnag District	अनंतनाग जिल्हा
Anantnag city	अनंतनाग शहर
Anantnath	अनंतनाथ
Anantapur	अनंतपूर
Anantapur District	अनंतपूर जिल्हा
Anantapur city	अनंतपूर शहर
Infinitely	अनंतराशी
Infinitely	अनंतव्रत
Infinite power	अनंतशक्ती
Unantrium	अनअनट्रियम
Nudity	अनग्नता
Encroachment	अनतिक्रमण
Unanquodium	अननक्वॉडियम
Annanpentium	अननपेंटियम
Unanpentium	अननपेन्टियम
Annanbiam	अननबियम
Ananbiyam	अननबीयम
Pineapple	अननस
Unanhexium	अननहेक्जियम
Inexperience	अननुभवीपणा
Uniqueness	अनन्यसाधारणता
Unattainable	अनपाया
Unfa	अनफा
Anfa Yoga	अनफा योग
Ignorance	अनभिज्ञता
Practice	अनभ्यास
Anaranya	अनरण्य
Misfortune	अनर्थ
Nonsense	अनर्थत्व
Ineligibility	अनर्हता
Anl	अनल
Online	अनला
Anal	अनळ
Aspiration	अनवकांक्षमाण
Anvat	अनवट
Unreadable	अनवठ
Anavadya	अनवद्या
Careless	अनवधान
Anavasar	अनवसर
Anavastha	अनवस्था
Ansuya	अनसूया
Uninterested	अनहित
Non-aggression	अनाक्रमण
Anagam	अनागम
Chaos	अनागोंदी
Incest	अनाचार
Uncovered location	अनाच्छादित स्थान
Anatma	अनात्म
Orphan	अनाथ
Orphanage	अनाथपण
Orphanage	अनाथपणा
Orphanage	अनाथालय
Orphanage	अनाथाश्रम
Disrespect	अनादर
Blindness	अनाधृष्टी
Anonymous	अनाम
Deposit	अनामत
Anonymity	अनामिकता
Anamika	अनामिका
Anonymous	अनामी
Anonymous language	अनामी भाषा
Anayusha	अनायुषा
Pomegranate	अनार
Pomegranate	अनारसा
Pomegranate	अनारी
Unhealthy	अनारोग्य
Immortality	अनार्तव
Anarya	अनार्य
Analambi	अनालंबी
Unveiling	अनावरण
Redundancy	अनावश्यकता
Invertebrate plants	अनावृत्तबीजी वनस्पती
Drought	अनावृष्टी
Non-attachment	अनासक्ती
Atheism	अनास्था
Dieting	अनाहारमार्गणा
Uninvited	अनाहूत
Reluctance	अनिच्छा
Insomnia	अनिद्र
Insomnia	अनिद्रा
Insomnia	अनिद्रा रोग
Anini	अनिनी
Anini city	अनिनी शहर
Animishdev	अनिमिषदेव
Uncontrolled	अनियंत्रण
Irregularity	अनियमितपणा
Aniruddha	अनिरुद्ध
Unmade	अनिर्मित
Anil	अनिल
Mandatory	अनिवार्यपणा
Uncertainty	अनिश्चितता
Uncertainty	अनिश्चितपणा
Atheism	अनिश्वरवाद
Undesirable	अनिष्ट
Unlucky	अनिष्टसूचक
Anikini	अनीकिनी
Ungodly	अनीतिज्ञ
Iniquity	अनीती
Compassion	अनुकंपा
Simulation	अनुकरण
Annexure	अनुकर्ष
Compatibility	अनुकूलता
Customization	अनुकूलन
Imitation	अनुकृतिशीलता
Sequence	अनुक्रम
Index	अनुक्रमणिका
Serial number	अनुक्रमांक
Follow up	अनुगमन
Anugita	अनुगीता
Impropriety	अनुचितता
Anuja	अनुजा
License	अनुज्ञप्ती
Permission	अनुज्ञा
Analogous	अनुतरंग
Repentance	अनुताप
Unanswered	अनुत्तरीत
Unproduction	अनुत्पादन
Discouragement	अनुत्साह
Reluctance	अनुत्सुकता
Grants	अनुदान
Industrialization	अनुद्योगीकरण
Nasal congestion	अनुनासिकता
Anupama	अनुपमा
Incompatibility	अनुपम्यता
Abuse	अनुपयोग
Uselessness	अनुपयोगिता
Useless items	अनुपयोगी वस्तू
Unavailability	अनुपलब्धता
Unavailability	अनुपलब्धी
Absence	अनुपस्थिती
Ratio	अनुपान
Proportional	अनुप्रमाणक
Alliteration	अनुप्रास
Contract	अनुबंध
Documentary	अनुबोधपट
Experience	अनुभव
Empiricism	अनुभववाद
Experiential	अनुभविक
Experienced man	अनुभवी माणूस
Experienced person	अनुभवी व्यक्ती
Experience	अनुभवीपणा
Experience	अनुभाव
Experimental	अनुभाविक
Experience	अनुभूती
Allowed	अनुमती
Cerebellum	अनुमस्तिष्क
Guess	अनुमान
Approver	अनुमोदक
Approval	अनुमोदन
Anumlocha	अनुम्लोचा
Follower	अनुयान
Followers	अनुयायी
Attachment	अनुरक्ती
Imitation	अनुरणन
Follow up	अनुरति
Anurag	अनुराग
Anuradha	अनुराधा
Anuradha Nakshatra	अनुराधा नक्षत्र
Conformity	अनुरूपता
Tracer	अनुरेखक
Tracing	अनुरेखन
Follower	अनुर्यायी
Adaptation	अनुलेपन
Anulom marriage	अनुलोम विवाह
Genetics	अनुवंशशास्त्र
Genetics	अनुवंशिकताविज्ञान
Follower	अनुवाक
Translation	अनुवाद
Translator	अनुवादक
Translated composition	अनुवादित रचना
Anuvind	अनुविंद
Follower	अनुशयी
Discipline	अनुशासन
Discipline	अनुशास्ता
Practice	अनुशीलन
Ancillary	अनुषंग
Ritual	अनुष्ठाता
Ritual	अनुष्ठान
Ritual	अनुष्ठानी
Research	अनुसंधान
Follow	अनुसरण
Scheduled Tribes	अनुसूचित जमाती
SC	अनुसूचित जाती
Schedule	अनुसूची
Anusuya	अनुसूया
Anuppur	अनूपपुर
Anuppur District	अनूपपुर जिल्हा
Anuppur	अनूपपूर
Anuppur District	अनूपपूर जिल्हा
Anrit	अनृत
Diversity	अनेकता
Plural	अनेकवचन
Ambiguous	अनेकार्थी
