 Nature	 പ്രകൃതി
Father's sister	അച്ഛന്റെ അനിയന്
Father's younger sister's daughter	അച്ഛന്റെ ഇളയസഹോദരിയുടെ മകള്
Father	അച്ഛന്‍
Achchamma	അച്ഛമ്മ
Achawani	അഛവാനി
അജ	അജ
Ajaka	അജക
Ajagan	അജഗന്
Ajagan	അജഗന്‍
Ajagalika	അജഗലിക
അജഗവം	അജഗവം
Ajadanti	അജദന്തി
അജനന്	അജനന്
Ajan	അജന്‍
Pastor	അജപാലകന്‍
Ajamamsam	അജമാംസം
Ajmagarh	അജമാഗഢ്
City of Ajmer	അജമേര് പട്ടണം
Ajmer	അജമേര്‍
Ajayan	അജയന്
Invincible.	അജയ്യന്.
Ajaram	അജരം
Ajaran	അജരന്
Ajavahanan	അജവാഹനന്‍
Ajambika fasting	അജാംബിക വ്രതം
Ajaji	അജാജി
The innate enemy	അജാത ശത്രു
Ajamil	അജാമിളന്‍
Ajit Nath	അജിത്നാഥ്
Ajinam.	അജിനം.
Indigestion	അജിരം
Indigestion	അജീര്ണ്ണം
Indigestion	അജീര്ത്തി
Inorganic process	അജൈവീക പ്രക്രിയ
Ignorance	അജ്ഞത
Unknown	അജ്ഞാതന്
Anonymity	അജ്ഞാതവാസം
Ignorant cataracts	അജ്ഞാനതിമിരം
Agnosticism	അജ്ഞേയതാവാദം
Azerbaijani	അജർബൈജാനി
Five	അഞ്ചന്‍കൊറ്റി
Fivelapees	അഞ്ചലാപ്പീസ്
Anchalottakkaran	അഞ്ചലോട്ടക്കാരന്
Anchal	അഞ്ചല്
Anchal	അഞ്ചല്‍
Fifth class	അഞ്ചാം ക്ലാസ്
Fifth type	അഞ്ചാം തരം
Fifth	അഞ്ചാംതീയതി
Fifth	അഞ്ചാംഭാവം
Five	അഞ്ചാൻ
Five feet	അഞ്ചിടങ്ങഴി
Five times	അഞ്ചുമടങ്ങ്
Five	അഞ്ച്
Five string necklaces	അഞ്ച് ചരങ്ങ് മാല
Five-turn torch	അഞ്ച് തിരിയുള്ള പന്തം
Five-year-old horse	അഞ്ച് വയസുള്ള കുതിര
Five	അഞ്ചൻഹാരി
Anjana	അഞ്ജന
Anjanam	അഞ്ജനം
Anjali	അഞ്ജലി
Five preparations	അഞ്ഞൊരുങ്ങല്‍
അട	അട
The foundation stone	അടകല്ല്
Adaka	അടകാ
Including	അടക്കം
Including burial	അടക്കം പറച്ചില്‍
Incompetence	അടക്കമില്ലായ്മ
Closing	അടക്കല്‍
Closure	അടച്ചു കെട്ടല്‍
Close	അടച്ചു കെട്ടുക
Closing	അടച്ചു പൂട്ടല്‍
Closer pillar	അടത്തൂണ്
Close.	അടപ്പം.
Close	അടപ്പു്
Closing	അടപ്പ്
Sign ring	അടയാള മോതിരം
Sign	അടയാളം
Close	അടയ്ക്ക
Closing tool.	അടയ്ക്ക മുറിക്കുന്നതിന്നുള്ള ഉപകരണം.
അടയ്ക്കമരം	അടയ്ക്കമരം
Close the knife	അടയ്ക്കാ കത്തി
The closing sparrow	അടയ്ക്കാകുരുവി
Peel	അടര്
Pebble	അടര്കല്ലു
Field	അടര്ക്കളം
Atal Bihari Vajpayee	അടല്‍ബിഹാ‍രി വാജ്പേയ്
Tactics	അടവി
Tactical	അടവ്
Atana	അടാന
Ft	അടി
Ft / furlog	അടി/ഫര്‍ലോഗ്
The foundation stone	അടികല്ല്
The rod used to beat	അടിക്കാന്‍ ഉപയോഗിക്കുന്ന വടി
Beat	അടിക്കുക
The one who beats	അടിക്കുന്ന ആൾ
Oppression	അടിച്ചമര്ത്തല്
അടിച്ചിപ്പാര.	അടിച്ചിപ്പാര.
Beaten wages	അടിച്ചു വാരൽ കൂലി
അടിച്ചുചതയ്ക്കല്	അടിച്ചുചതയ്ക്കല്
Beating	അടിച്ചുവാരല്‍
Tool for beating	അടിച്ചുവാരുന്നതിന്നുള്ള ഉപകരണം
At the base	അടിത്തട്ടില്‍
Basement	അടിത്തട്ട്
Foundation	അടിത്തറ
Beat	അടിപിടി
അടിപിടുകൂടുന്നവന്	അടിപിടികൂടുന്നവന്
Beat	അടിപെപ്പ്
Bottom	അടിഭാഗം
Slave	അടിമ
Slave system	അടിമ വ്യവസ്ഥ
Slave trade	അടിമക്കച്ചവടം
Subsoil	അടിമണ്ണ്
Slavery	അടിമത്തം
Urgent	അടിയന്തിരം
Emergency law	അടിയന്തിരനിയമം
Footer.	അടിയളവു്.
To beat	അടിയാന്‍
Addiction	അടിയായ്മ
At the bottom	അടിയില്
Will be beaten	അടിയുംവെട്ടും
Bottom	അടിയൊഴുക്ക്
Abdomen	അടിവയറു്‌
Underline	അടിവര
Underwear	അടിവസ്ത്രം
Footer	അടിവാരം
Basic outline	അടിസ്ഥാന രൂപരേഖ
Basis	അടിസ്ഥാനം
Basics	അടിസ്ഥാനതത്ത്വം
Base color	അടിസ്ഥാനനിറം
Unfounded expectation	അടിസ്ഥാനമില്ലാത്ത പ്രതീക്ഷ
Near	അടുക്കല്‍
Kitchen	അടുക്കള
Kitchen appliance	അടുക്കള ഉപകരണം
Kitchen utensils	അടുക്കള സാധനം
The cook	അടുക്കളക്കാരന്‍
Kitchen work	അടുക്കളജോലി
Kitchen work	അടുക്കളപണി
Kitchen work	അടുക്കളപ്പണി
Kitchen utensils	അടുക്കളപ്പാത്രം
Beyond the kitchen.	അടുക്കളപ്പുറം.
Inaccessibility	അടുക്കില്ലായ്മ
Sort jar	അടുക്കു കുടം
Arrange and order	അടുക്കും ചിട്ടയും
Lack of order and order	അടുക്കും ചിട്ടയുമില്ലായ്മ
Sort	അടുക്ക്
Next	അടുത്ത
Next of kin	അടുത്ത ബന്ധു
Closeness	അടുത്തുണ്ടാകല്‍
Nearby	അടുത്തുള്ളവർ
Close	അടുത്തൂണ്
Closeness	അടുപ്പം
Water in the oven	അടുപ്പത്ത് വച്ച വെള്ളം
Put in the oven	അടുപ്പിൽ വയ്ക്കൽ
Stove	അടുപ്പു്
Stove.	അടുപ്പു്.
Stove	അടുപ്പ്
The hearthstone	അടുപ്പ്കല്ല്
Stove	അടുപ്പ്‌
അട്ട	അട്ട
Attam	അട്ടം
Attakam	അട്ടകം
Attara	അട്ടറ
Attari	അട്ടറി
Laughter	അട്ടഹാസം
Atil	അട്ടില്‍
Athawali	അഠവാലി
അഠടി	അഠൌടി
Athwari	അഠ്വാരി
Additional Judge	അഡീഷണല്‍ ജഡ്ജി
Address	അഡ്രസ്
Advance	അഡ്വാന്സ്
Advance copy	അഡ്വാന്സ് കോപ്പി
Advocate	അഡ്‌വൊക്കേറ്റ്
Ana Raga	അഢാനാ രാഗം
അഢിയ	അഢിയ
Dam	അണ
Shut down	അണച്ചുവര്
Jaw	അണപ്പല്ല്
Liquor	അണപ്പ്
Place to hang out	അണയാനുള്ള സ്ഥലം
Array	അണി
Dressing	അണിഞ്ഞൊരുക്കം
Dressing	അണിഞ്ഞൊരുങ്ങൽ
Array	അണിനിരക്കല്
Anima	അണിമ
Lined up.	അണിയറ.
അണിയിച്ചൊരുക്കുന്നവള്	അണിയിച്ചൊരുക്കുന്നവള്
Nuclear weapons war	അണു ആയുധയുദ്ധം
Atomic bomb	അണു ബോംബ്
Nucleus	അണുകേന്ദ്രം
Atomization	അണുത്വം
Disinfection	അണുനശീകരണം
The egg	അണ്ട
Ovary	അണ്ടകോശം
Ovary	അണ്ടജം
Underworld	അണ്ടര്വേള്ഡ്
Andler	അണ്ടലര്‍
Antarctica	അണ്ടാര്ട്ടിക്ക
Ovary	അണ്ടാവ്
Andy	അണ്ടി
Nuts	അണ്ടിപരിപ്പ്
Nuts	അണ്ടിപരിപ്പ്‌
Ovary	അണ്ഡം
Ovary	അണ്ഡകോശം
Ovary	അണ്ഡഗ്രന്ഥി
Ovary	അണ്ഡജം
Under Secretary	അണ്ഡര്‍ സെക്രട്ടറി
Oval	അണ്ഡാകാരം
Oval	അണ്ഡാകൃതി
Ovary	അണ്ഡാശയം
അണ്ണല്	അണ്ണല്
Cancer affecting the palate	അണ്ണാക്കിന്റെ ബാധിക്കുന്ന അർബുദം
അണ്ണാക്കു⁇	അണ്ണാക്കു്‌
Taste	അണ്ണാക്ക്
Annachipoo	അണ്ണാച്ചിപൂ
അണ്ണാന്	അണ്ണാന്
അണ്ണാന്.	അണ്ണാന്.
Annan monkey	അണ്ണാന്‍ കുരങ്ങ്
അണ്ണാൻരാഞ്ചിപരുന്ത്	അണ്ണാന്‍രാഞ്ചിപരുന്ത്
അതലം	അതലം
Athana	അതാനാ
അതായികൾ	അതായികൾ
Opacity	അതാര്യത
And so on	അതി കാലന്
Superhero	അതികായകന്
Awful	അതികൃച്ഛം
Violence	അതിക്രമം
Aggressor	അതിക്രമി
Trespassing	അതിക്രമിച്ചു കയറാതിരിക്കല്
Transgression	അതിക്രമിച്ചുകയറ്റം
Outdoors	അതിഗംഭീരം
Excessive	അതിഘം
Survival	അതിജീവനം
Guest house	അതിഥി ഗൃഹം
Guest house	അതിഥി ഭവനം
Guest House	അതിഥി മന്ദിരം
Guest room	അതിഥി മുറി
Hospitality	അതിഥി സല്ക്കാരം
അതിനാഭൻ	അതിനാഭന്‍
അതിപാണ്ഡുകമ്പല	അതിപാണ്ഡുകംബല
Very intelligent	അതിബുദ്ധിമാന്
Excess	അതിമാനം
Ambition	അതിമോഹം
Extreme desire	അതിയായ അഭിലാഷം
In the morning	അതിരാവിലെ
Boundary	അതിരിടല്‍
Boundary	അതിര്
Boundary	അതിര്തിരിക്കല്
Boundary	അതിര്ത്തി
Boundary area	അതിര്ത്തി പ്രദേശം
Border Guard	അതിര്ത്തി രക്ഷകന്‍
Boundary violation	അതിര്ത്തി ലംഘനം
Border Guard	അതിര്ത്തി സംരക്ഷകന്
Border Protection Force	അതിര്ത്തി സംരക്ഷണസേന
Border Security Force	അതിര്ത്തി സുരക്ഷാസേന
Border Guard	അതിര്ത്തിപാലകന്‍
Boundary.	അതിര്വര.
Border	അതിര്‍ത്തി
Leap year	അതിവര്ഷം
Excellent.	അതിവിശിഷ്ഠമായ.
Fast rotation	അതിവേഗ ഭ്രമണം
Strong winds	അതിശക്തിയായി വീശുന്ന കാറ്റു്‌
Amazing flavor	അതിശയ രസം
Awesome	അതിശയം
Exaggeration	അതിശയോക്തി
Exaggerated decoration	അതിശയോക്തിയലങ്കാരം
Cold weather	അതിശൈത്യ കാലം
Diarrhea.	അതിസാര രോഗം.
Diarrhea	അതിസാരം
Hypersensitivity	അതിസൂക്ഷ്മഭാവം
Legendary	അതിഹസിതം
Border foot	അതിർത്തി കാല്
Boundary violation	അതിർത്തി ലംഘനം
The supernatural argument	അതീന്ദരിയ വാദം
Extremely beautiful	അതീവസൌന്ദര്യം
Unique mineral	അതുല്യ ധാതു
Unique beauty	അതുല്യ സൌന്ദര്യം
Dissatisfaction	അതൃപ്തി
Yes	അതെ
Authority	അതോററ്റി
That's it	അത് ലാന്റ്റിക്
That's it	അത്ത
അത്തം	അത്തം
Attam star	അത്തം നക്ഷത്രം
And so on	അത്തറ്
Dinner	അത്താഴം
Fig tree.	അത്തി മരം.
FIG	അത്തിപ്പഴം
Fig tree	അത്തിമരം
Attar is a trader	അത്തർ കച്ചവ്വടക്കാരൻ
That vessel	അത്തർ പാത്രം
That machine	അത്തർ യന്ത്രം
Wonderful flavor	അത്ഭുത രസം
Miracle	അത്ഭുതം
Miracle	അത്ഭുതകൃത്യം
Absolutely	അത്യം
Absolutely	അത്യയം
Greed	അത്യാഗ്രഹം
Greedy	അത്യാഗ്രഹി
Essential	അത്യാവശ്യം
Emergency disease	അത്യാഹിതരോഗം
Emergency vehicle	അത്യാഹിതവാഹനം
Exaggeration	അത്യുക്തി
Extreme level	അത്യുച്ചനില
The highest rank	അത്യുന്നത പദവി
Atri	അത്രി
That is the land	അത്രേയ ദേശം
That's it	അത്രേയ്
Athlete	അത്ലറ്റ്
Atharva Vedic scholar	അഥര്‍വ വേദപണ്ഡിതന്‍
Atharva-shikha	അഥര്‍വ-ശിഖ
Atharva-Shir	അഥര്‍വ-ശിര്‍
Atharva Mantra	അഥര്‍വമന്ത്രം
Atharva Maharshi	അഥര്‍വമഹര്‍ഷി
Or diet	അഥവു ഭക്ഷണക്രമം
Atharva Veda	അഥർവവേദം
അദത്തം	അദത്തം
Aditi	അദിതി
Addis Ababa	അദിസ് അബാബ
Invisibility	അദൃഢത
Invisibility	അദൃശ്യത
Invisibility.	അദൃശ്യത.
Disappearance	അദൃശ്യമാകല്‍
അദ്ധര്വടയൂ	അദ്ധര്വടയൂ
Teacher.	അദ്ധാപകന്.
Presiding	അദ്ധ്യക്ഷത
Study	അദ്ധ്യയനം
Study	അദ്ധ്യയനം ചെയ്യിക്കല്
Adhyatma Upanishad	അദ്ധ്യാത്മ ഉപനിഷത്
Spiritualism	അദ്ധ്യാത്മവിദ്യ
Teaching	അദ്ധ്യാപകത്വം
Teacher	അദ്ധ്യാപകന്‍
Teaching	അദ്ധ്യാപനം
Teacher	അദ്ധ്യാപിക
Chapter	അദ്ധ്യായം
Chapter	അദ്ധ്യായഭാഗം
President	അദ്ധ്യേതാവു്
Work	അദ്ധ്വാനം
Labor	അദ്ധ്വാനി
Admani	അദ്മനി
Adri tribe	അദ്രി ഗോത്രം
അദ്രികുക്ഷി	അദ്രികുക്ഷി
Advaitaraka Upanishad	അദ്വയതാരക ഉപനിഷത്
Advaita	അദ്വൈതവാദി
Advaita Siddhanta	അദ്വൈതസിദ്ധാന്തം
Decline	അധഃപതനം
Inferiority complex	അധഃസ്വസ്തിക
Worse	അധമ
Worse	അധമം
Oral thrush	അധര ശോണിമ
Lips	അധരം
Lip drinking	അധരപാനം
Lip balm	അധരമധു
Lipstick	അധരാഞ്ചി
Lip tasting	അധരാസ്വാദനം
Wickedness	അധര്മ്മം
High	അധര്യം
അധവാരി	അധവാരി
Adhan	അധാന്
Immorality	അധാര്മ്മികത
Immoral	അധാര്മ്മികന്‍
The underdog	അധാസുരൻ
Extra organ	അധിക അവയവം
Extra counting	അധിക എണ്ണൽ
Extra tax	അധിക കരം
Extra angle	അധിക കോണ്‍
Additional tax	അധിക നികുതി
Extra speech	അധിക പ്രസംഗം
Extra pricing	അധിക വിലയീടാക്കൽ
For the most part	അധികം ഭാഗം
Too bad	അധികകഷ്ടം
Extra sign	അധികചിഹ്നം
Excess	അധികപ്പറ്റ്
Extra difficulty	അധികപ്രയാസം
Theory of supremacy	അധികരണ സിദ്ധാന്തം
Overindulgence	അധികാനുരാഗം
Longevity	അധികായുസ്
Authorization	അധികാര പത്രം
Jurisdiction	അധികാര പരിധി
Power	അധികാരം
Relinquishment of power	അധികാരം ഉപേക്ഷിക്കല്‍
Empowerment	അധികാരം ഒഴിയല്
Powered by Blogger	അധികാരം പ്രദാനം ചെയ്യല്
Power pole	അധികാരദണ്ട്
Authorization	അധികാരപത്രം
Authoritarianism	അധികാരപ്രമത്തത
Authority	അധികാരഭാവം
Powerlessness	അധികാരമില്ലായ്മ
Powerful	അധികാരമുള്ളവന്‍
Authority	അധികാരസ്ഥാപനം
Officer	അധികാരി
The ruling class	അധികാരി വര്ഗ്ഗം
Privilege	അധികാവകാശം
Official law	അധികൃതനിയമം
Official	അധികൃതന്‍
Authorities	അധികൃതര്
Abuse	അധിക്ഷേപം
Abuse.	അധിക്ഷേപം.
Adhijihva	അധിജിഹ്വ
Holiday	അധിദിവസം
Goddess	അധിദേവത
Chief	അധിപ
Chief	അധിപന്‍
Month	അധിമാസം
Surrender	അധിയജ്ഞം
Superstructure	അധിയവ്യവസ്ഥയ
Adhiyar	അധിയാര്‍
Adhiratham	അധിരഥം
അധിരഥന്	അധിരഥന്
Climber	അധിരോഹണി
Spokesperson	അധിവക്താവു്‌
Leap year	അധിവർഷം
Subordination	അധീനത
Subordination	അധീനതയിലാക്കല്
Subordinate	അധീനതയിലുള്ള
Dominance	അധീശത്വം
Adhishan	അധീശന്‍
Decline	അധോഗതി
Inferiority	അധോദൃഷ്ടി
The bottom	അധോഭാഗം
Degradation	അധോഭുവനം
The underworld	അധോയന്ത്രം
The underworld	അധോലംബം
Underworld	അധോലോകേശന്‍
Underwear	അധോവസ്ത്രം
Depression	അധോവായു
Teacher cancer	അധ്യാ ർബുദം
Spiritual	അധ്യാത്മീകം
Teacher	അധ്യാപകന്
Teacher	അധ്യാപകന്‍
Teaching	അധ്യാപനം
Chapter	അധ്യായം
Labor	അധ്വാനം
Ed	അധ്‌
Anangan	അനംഗന്
Anangasekhar	അനംഗശേഖർ
Approval	അനംഗീകരണം
Ananthaka Raga	അനംതടക രാഗം
Anantharaj	അനംതരജ്
Anandi	അനംദി
Anakam	അനക്കം
Motionless	അനക്കമില്ലാത്ത
Anakkal	അനക്കല്‍
Nudity	അനഗ്നത
Anagni	അനഗ്നി
അനതി	അനതി
Non-academic decoration	അനദ്ധ്യാവസായ അലങ്കാരം
Infinite future	അനദ്യതനഭാവികാലം
അനധ്യായ്	അനധ്യായ്
Inconsistency	അനനുഭാഷണം
Infinite	അനന്ത
Infinite	അനന്തകായ
Infinite Wisdom	അനന്തജ്ഞാനം
Ananthapadmanabhan	അനന്തപത്മനാഭന്‍
Ananthapuram	അനന്തപുരം
Ananthapuri	അനന്തപുരി
Anantapur	അനന്തപുര്‍
Descendant	അനന്തരഗാമി
Consequence	അനന്തരഫലം
Nephew.	അനന്തരവന്.
Niece.	അനന്തരവള്.
Heir	അനന്തരാവകാശി
Infinite success	അനന്തവിജയം
Infinite	അനന്തവീര്യന്‍
Infinite head	അനന്തശീര്‍ഷ്
Infinite number	അനന്തസംഖ്യ
Ananda	അനന്ദ
Ananda Chaturdashi	അനന്ദ ചതുര്‍ദശി
Ananda Nath	അനന്ദ നാഥ്
Anandachathurdashi fast	അനന്ദചതുര്‍ദശി വ്രതം
അനന്യജന്	അനന്യജന്
Uniqueness	അനന്യത
Unique	അനന്യപൂർവ്വ
Inconsistency	അനന്വയം
Anark Chaturdashi	അനര്ക്ക് ചതുര്ദശി
